CAPACIDAD (MiB);TIME;CPU (%);MEM_USAGE (MiB);MEM (%);NET_Input (kB);NET_Output (kB);BLOCK_Input (kB);BLOCK_Output (kB)
100;0;0;2,578;2,58;5,08;0;561;0
100;30;0,64;2,654;2,64;105;105;561;0
100;60;0,34;2,654;2,64;394;415;561;0
100;90;0,14;2,648;2,65;759;805;561;0
100;120;0,16;2,648;2,65;1120;1190;561;0
100;150;0,24;2,648;2,65;1490;1590;561;0
100;180;0;2,652;2,65;1,83;1,95;561;0
55;0;0;2,609;4,74;7,14;0;6840;0
55;30;0,05;2,672;4,86;9,89;1,06;6840;0
55;60;0,16;2,703;4,91;396;415;6840;0
55;90;0,24;2,703;4,91;760;806;6840;0
55;120;0,23;2,703;4,91;1130;1200;6840;0
55;150;0,14;2,703;4,91;1490;1590;6840;0
55;180;0;2,703;4,91;1839;1950;6840;0
50;0;0;2,539;5,08;5,73;0;86;0
50;30;0,03;2,613;5,23;14;7,78;86;0
50;60;0,17;2,629;5,26;382;403;86;0
50;90;0,03;2,629;5,26;746;793;86;0
50;120;0,16;2,629;5,26;1120;1200;86;0
50;150;0,15;2,629;5,26;1490;1590;86;0
50;180;0;2,633;5,27;1830;1950;86;0
40;0;0;2,684;6,71;5,25;0;6840;0
40;30;0,03;2,715;6,79;7,76;1,06;6840;0
40;60;0,02;2,77;6,92;380;401;6840;0
40;90;0,16;2,773;6,93;756;803;6840;0
40;120;0,1;2,773;6,93;1110;1180;6840;0
40;150;0,02;2,773;6,93;1470;1570;6840;0
40;180;0;2,773;6,93;1830;1960;6840;0
30;0;0;2,5;8,33;3,62;0;7010;0
30;30;0;2,531;8,44;6,11;1,06;7010;0
30;60;0,15;2,609;8,7;394;418;7010;0
30;90;0,25;2,609;8,7;756;807;7010;0
30;120;0,21;2,613;8,71;1120;1200;7010;0
30;150;0,03;2,617;8,72;1470;1580;7010;0
30;180;0;2,617;8,72;1830;1960;7010;0
20;0;0;2,656;13,28;3,9;0;7050;0
20;30;0;2,711;13,55;9,95;4,04;7050;0
